company_number,company_name,vat_candidate,checked_at,hmrc_valid,hmrc_name,hmrc_address
15460108,FAMILY HOME IMPROVEMENTS LTD,464840278,2026-08-15,YES,FAMILY HOME IMPROVEMENTS LTD,"UNIT A TEXACO SERVICE STATI, 262 NANTGARW ROAD, CAERPHILLY, CF83 1BW, GB"
08388589,ROBERT GLOVER ASSOCIATES LIMITED,155743887,2026-08-15,YES,ROBERT GLOVER ASSOCIATES LTD.,"19A, SALISBURY ROAD, BARNET, EN5 4JW, GB"
13517670,BABYFAIR LTD,392175187,2026-08-15,YES,BABYFAIR LTD,"SAVILE BUSINESS CENTRE, MILL STREET EAST, DEWSBURY, WF12 9AH, GB"
